119994,AAB,2012,Riešenie úloh spracovania rozsiahlych grafických údajov v prostredí paralelných počítačových systémov, - Košice : UK TU - 2012. - 384 s.. - ISBN 978-80-553-0864-7.,"[SOBOTA, Branislav (20%) - KOREČKO, Štefan (20%) - LÁTKA, Ondrej (20%) - SZABÓ, Csaba (20%) - HROZEK, František (20%)]",0,[]
166783,AAB,2012,Slovník koreňových morfém slovenčiny," - 3., uprav. a dopl. vyd - Prešov : Prešovská univerzita - 2012. - 690 s.. - ISBN 978-80-555-0603-6.","[SOKOLOVÁ, Miloslava (20%) - OLOŠTIAK, Martin (30%) - IVANOVÁ, Martina (30%) - ŠIMON, František (5%) - CZÉREOVÁ, Beáta (5%) - VUŽŇÁKOVÁ, Katarína (5%) - BENKO, Vladimír (3%) - MOŠKO, Gustáv (2%)]",0,[]
145390,AAB,2014,Poradenstvo a protidrogová prevencia ako súčasť sociálnej práce v prostredí vysokých škôl, - 1. vyd. - Košice : TU - 2014. - 132 s.. - ISBN 978-80-553-1683-3.,"[RAČKOVÁ, Mariana (50%) - TKÁČOVÁ, Renáta (50%)]",2,"['2014  [4] PLANETOVÁ, Katarína, PĽUCHTOVÁ, Martina, POLAKOVIČOVÁ, Soňa Internet a jeho tienisté stránky In: Spoločne proti drogám : nekonferenčný vedecký zbotník : Košice, 2014 S. 117-125 ISBN: 978-80-553-1344-3', '2018  [4] TKÁČOVÁ, Renáta - POLAKOVIČOVÁ, Soňa Aplikácia ekologického prístupu na školskú sociálnu prácu In: Osobnostný a sociálny rozvoj ako základ efektívnej prevencie v škole S. 114-120 ISBN: 978-80-553-3203-1']"
191068,AAB,2014,Dejiny židov v Košiciach a ich spolupráca s Ekumenickým spoločenstvom, - 1. vyd - Košice : Vienala - 2014. - 227 s. - ISBN 978-80-8126-086-5.,"[MIČKO, Ján (100%)]",0,[]
170127,AAB,2015,"Umelecko-estetický artefakt, zážitkovosť a tvorivosť vo vysokoškolskej edukácii", - 1. vyd. - Košice : TU - 2015. - 125 s.. - ISBN 978-80-553-2457-9.,"[HREHOVÁ, Daniela (100%)]",0,[]
177993,AAB,2016,Tvorenie termínov v odbore cestovného ruchu v slovenčine a v ruštine, - 1. vyd. - Prešov : Prešovská univerzita - 2016. - 232 s.. - ISBN 978-90-555-1685-1.,"[VRÁŽELOVÁ, Viktória (100%)]",0,[]
179258,AAB,2016,Didaktika v teórii a praxi, - 1. vyd - Košice : TUKE - 2016. - 101 s.. - ISBN 978-80-553-3022-8.,"[HREHOVÁ, Daniela (100%)]",0,[]
191043,AAB,2017,Manažment stresu, - 1. vyd - Košice : TU - 2017. - 81 s. - ISBN 978-80-553-2948-2.,"[JENČOVÁ, Anna (100%)]",0,[]
77913,ABB,2008,Estetika a umenie - empirická analýza vzťahu vysokoškolákov k umeniu, - 2008.,"[HREHOVÁ, Daniela (100%)]",3,"['2010  [3] PATER-EJGIERT, Natalia Search of an alternative to traditional art education In: Chudožestvennaja pedagogika 21. vek: opyt, problemy, innovacii : sbornik naučnych statij po materialam meždunarodnoj naučno-praktičeskoj konferencii posvjaščennoj chudožestvenno-grafičeskkogo fakulteta Kurskogo gasudarstvennogo universiteta P. 52 ISBN: 978-5-903219-41-4', '2012  [4] SOKOLOVA, Anastacia Stanislavovna Guidelines on preparing for the course of lectures on ""ethics and aesthetics"" In: Spoločenskovedné vzdelávanie na technických univerzitách a proces globalizácie : Medzinárodné kolokvium : Zborník vedeckých prác : Bratislava, 20.6.2012 [CD-ROM] S. 129-134 ISBN: 978-80-227-3726-5', '2011  [4] SOKOLOVA, Anastasia Stanislavovna Formirovanije professionaľnych kačestv studentov CHGF v processe vypolnenija analiza chudožestvennych proizvedenij In: Sociálne a politické analýzy Roč. 5, č. 2 (2011), s. 55-67 ISSN: 1337-5555']"
132139,ABB,2012,Školská sociálna práca v prostredí vysokých škôl 1, - 2012.,"[TKÁČOVÁ, Renáta (100%)]",0,[]
139069,ABB,2013,Školská sociálna práca v prostredí vysokých škôl 2, - 2013.,"[TKÁČOVÁ, Renáta (100%)]",0,[]
87889,ABC,2008,Etika a estetika v kariérnom poradenstve, - 2008.,"[HREHOVÁ, Daniela (100%)]",4,"['2013  [4] PRZYBYSZ, Jerzy Potrzeba wprowadzenia etyki do szkół In: Možnosti kultivácie osobnosti v technologickom veku : zborník recenzovaných vedeckých prác s medzinárodnou účasťou S. 211-217 ISBN: 978-80-553-1344-3', '2012  [4] SOKOLOVA, Anastacia Stanislavovna Guidelines on preparing for the course of lectures on ""ethics and aesthetics"" In: Spoločenskovedné vzdelávanie na technických univerzitách a proces globalizácie : Medzinárodné kolokvium : Zborník vedeckých prác : Bratislava, 20.6.2012 [CD-ROM] S. 129-134 ISBN: 978-80-227-3726-5', '2013  [4] SZYJKO, Cezary Tomasz Cultivation of university studendts` In: Možnosti kultivácie osobnosti v technologickom veku : zborník recenzovaných vedeckých prác s medzinárodnou účasťou [CD-ROM] S. 245-251 ISBN: 978-80-553-1344-3', '2010  [4] BINDEROVÁ, S., BOLFIKOVÁ, E. Spokojnosť pacientov a zákonných zástupcov s prácou zamestnancov nemocníc s ohľadom na problém etiky a morálky In: Sociálne a politické analýzy Roč. 4, č. 2 (2010), s. 93-125 ISSN: 1337-5555']"
82324,ABC,2009,Ty a Tvá kariéra :, - 2009.,"[ZVARIKOVÁ, Mária (100%)]",1,"['2012  [3] BRUNCKOVÁ, Miroslava, VENDEL, Štefan Sociodemografické rozdiely v ťažkostiach pri voľbe povolania In: PhD existence 2 česko-slovenská psychologická konference (nejen) pro doktorandy a o doktorandech : Sborník příspěvků z PhD existence 2 : česko-slovenská psychologická konference (nejen) pro doktorandy a o doktorandech : Olomouc, 2012 P. 177-189 ISBN: 978-80-244-3037-9']"
120093,ABC,2011,Developing Competences of Managerial staff, - 2011.,"[HREHOVÁ, Daniela (90%) - FRENOVÁ, Jana (10%)]",0,[]
122894,ABC,2012,Špecifiká vybraných energetických zdrojov, - 2012.,"[RYBÁR, Radim (34%) - CEHLÁR, Michal (33%) - HREHOVÁ, Daniela (33%)]",1,"['2012  [4] SZYJKO, Cesary Tomasz Droga do wspólnej polityka energetycznej In: Sociálne a politické analýzy Roč. 6, č. 2 (2012), s. 16-31 ISSN: 1337-5555']"
122895,ABC,2012,Obnoviteľné zdroje energie a ekonomika, - 2012.,"[HREHOVÁ, Daniela (60%) - CEHLÁR, Michal (40%)]",2,"['2012  [3] HLAVŇOVÁ, Barbara, PRISTÁŠOVÁ, Izabela, VINC, Lukáš Review of Water Management in the Area of Dolný Zemplín In: Journal on Law, Economy & Management Vol. 2, no. 1 (2012), p. 25-31 ISSN: 2048-4186', '2012  [4] SZYJKO, Cesary Tomasz Droga do wspólnej polityka energetycznej In: Sociálne a politické analýzy Roč. 6, č. 2 (2012), s. 16-31 ISSN: 1337-5555']"
139623,ABC,2012,Responsible business as an inspiration for today´s company, - 2012.,"[HREHOVÁ, Daniela (100%)]",1,"['2015  [4] KLIMKOVÁ, Andrea Etické stratégie ako nástroj pre ekologickú zodpovednosť v organizácii In: Vysokoškolská edukácia pre potreby súčasného kreatívneho podnikateľského prostredia : Košice, 2015 S. 126-135 ISBN: 978-80-553-2221-6']"
184661,ABC,2017,Psychológia – možnosti a nové trendy v edukácii na technických univerzitách, - 2017.,"[RAČKOVÁ, Mariana (50%) - MATOCHOVÁ, Jana (50%)]",0,[]
184663,ABC,2017,Současná společnost a syndrom burnout, - 2017.,"[MATOCHOVÁ, Jana (50%) - RAČKOVÁ, Mariana (50%)]",0,[]
198392,ABC,2018,Posuny v prístupoch vo vzdelávaní spoločenskovedných predmetov na technických univerzitách, - 2018.,"[RAČKOVÁ, Mariana (90%) - MATOCHOVÁ, Jana (10%)]",0,[]
71996,ABD,2007,Faktory ovplyvňujúce vznik a zánik podnikateľských subjektov z celoštátneho a regionálneho hľadiska, - 2007.,"[BILÁ, Anna (100%)]",0,[]
102878,ACA,2009,Slovenčina interkultúrne, - 1.vyd - Plovdiv : Lettera - 2009. - 146 s. - ISBN 978-954-516-636-5.,"[NEMCOVÁ, Emília (50%) - NEMČOKOVÁ, Viera (50%)]",0,[]
28195,ACB,1982,Programovacie systémy 3 :," - 1. vyd. - Bratislava : Alfa, - 1982. - 172 s..","[BALUN, Vladimír (50%) - SAMUELIS, Ladislav (50%)]",0,[]
0011679,ACB,2000,English for environmental studies :," - Košice : Technical University, - 2000. - 119 s. . - ISBN 80-7099-501-7.","[CZÉREOVÁ, Beáta - KNUTOVÁ, Gabriela (25%) - NEMČOKOVÁ, Viera (25%) - SLÁDEČKOVÁ, Božena (25%)]",0,[]
0011680,ACB,2000,English for information technology :," - Košice : Technical University, - 2000. - 114 s. . - ISBN 80-7099-502-5.","[HAPÁKOVÁ, Anna - KUSTROVÁ, Marcela - VEŠKRNOVÁ, Alžbeta - PAUČO, Ján]",0,[]
0015330,ACB,2001,Počítačová podpora návrhu a spracovania dokumentácie v elektrotechnike, - Košice : Mercury-Smékal - 2001. - 97 s.. - ISBN 80-968550-3-4.,"[FEDOR, Stanislav]",0,[]
0015340,ACB,2001,Computer support for processing of documentation in electrical engineering, - Košice : Mercury-Smékal - 2001. - 108 s.. - ISBN 80-89061-22-2.,"[FEDOR, Stanislav]",0,[]
36054,ACB,2002,Tímová práca a rozvoj tímov," - 1. vyd - Košice : TU, ICV, - 2002. - 58 s. - ISBN 80-7099-867-9.","[TIMČÁK, Gejza M. (35%) - ZEĽOVÁ, Alena (32%) - GAJDOŠOVÁ, Beáta (33%)]",0,[]
29287,ACB,2004,Alternatívne zdroje energie 3 :," - 1. vyd - Košice : Edičné stredisko/AMS, - 2004. - 99 s. - ISBN 80-8073-144-6.","[RYBÁR, Radim (49%) - KUDELAS, Dušan (49%) - FISCHER, Gabriel (2%)]",19,"['2010  [4] RYBÁR, Pavol et al. ANALYSE der Investitionen Im Bergbau In: ANALYSE der Investitionen Im Bergbau 146 s ISBN: 978-80-553-0404-5', '2010  [4] TKÁČ, J., RUSNÁK, P. Modely veterných elektrární s vertikálnou osou In: Alternatívne zdroje energie : ALER 2010 : 6. ročník vedecko-odbornej konferencie s medzinárodnou účasťou : Liptovský Ján, 7.-8. októbra 2010 [CD-ROM] S. 25-29 ISBN: 978-80-554-0242-0', '2007  [3] KOVÁČOVÁ, I., KOVÁČ, D. Electromagnetic Coupling of the Electrical Drive - EMC (Part I) In: Electrical Power Quality and Utilization [online] Vol. 13, no 2 (2007), p. 9-14', '2007  [4] JANÍČEK, František et al. Obnoviteľné zdroje energie 1 In: Obnoviteľné zdroje energie 1 176 s. ISBN: 978-80-969777-0-3', '2004  [4] WITTENBERGER, G., PINKA, J., SIDOROVÁ, M.: Využitie geotermálnej energie na Slovensku a jej budúci vývoj. In: Acta Montanistica Slovaca. Roč. 9, č. 3 (2004), s. 348-351. ISSN 1335-1788.', '2005  [3] KOVÁČOVÁ, Irena - KOVÁČ, Dobroslav: EMC and parasitic capacitancies of converters. In: Journal of electrical engineering [online]. 2005, vol. 51, no. 2 [cit. 2006-6-8], p. 31. Dostupné na internete: <http://www.it-market.ro/jee/articles/WH1134119455W43994a1f09968.pdf>. ISSN 1582-4594.', '2005  [3] KOVÁČOVÁ, Irena - KAŇUCH, Ján - KOVÁČ, Dobroslav: EMC diskového motoru s permanentními magnety. In: Elektrorevue [online]. 2005, vol.48 [cit. 2006-6-8], 18 p. Dostupné na internete: <http://www.elektrorevue.cz/clanky/05048/>.', '2005  [4] RYBÁR, Pavol et al.: Evaluation of mineral deposits. Košice : TU, 2005. 136 s. ISBN 80-8073-311-2.', '2005  [4] CEHLÁR, M., MIHOK, J.: Bewertung der Mineralrohstofflagerstätten. In: Bewertung der Mineralrohstofflagerstätten. Košice, F BERG TU 2005. S. 172. ISBN 80-8073-482-8.', '2006  [4] KOVÁČOVÁ, I., KOVÁČ, D., KAŇUCH, J.: Elektromagnetická kompatibilita elektrických pohonov (3). In: AT&P Journal. Roč. 13, č. 4 (2006), s. 65-66. ISSN 1335-2237.', '2006  [4] KOVÁČOVÁ, I., KOVÁČ, D., KAŇUCH, J.: Elektromagnetická kompatibilita elektrických pohonov (1). In: AT&P Journal. Roč. 13, č. 2 (2006), s. 65-66. ISSN 1335-2237.', '2005  [4] KOVÁČOVÁ, I.: Inductive Coupling of the electrical drive - EMC. In: Transaction of the universities of Košice. Č. 2 (2005), s. 42-48. ISSN 1335-2334.', '2005  [4] KOVÁČOVÁ, I., KOVÁČ, D.: Parasitic Capacitances of Converters and EMC. In: Transactions of the Unversities of Košice. Č. 1 (2005), s. 40-47. ISSN 1335-2334.', '2005  [4] MIHOK, J.: Productivity and competitive ability of enterprise. In: Acta Montanistica Slovaca. Roč. 10, č. 4 (2005), s. 399-402. ISSN 1335-1788.', '2006  [4] KOVÁČOVÁ, I., KOVÁČ, D., KAŇUCH, J.: Elektromagnetická kompatibilita elektrických pohonov (2). In: AT&P Journal. Roč. 12, č. 3 (2006), s. 92-97. ISSN 1336-233X.', '2006  [4] KOVÁČOVÁ, I., KOVÁČ, D., KAŇUCH, J.: Elektromagnetická kompatibilita elektrických pohonov (4). In: AT&P Journal. Roč. 13, č. 5 (2006), s. 105-107. ISSN 1336-233X.', '2006  [3] KOVÁČOVÁ, I., KOVÁČ, D.: Capacitive coupling and parasitic capacitances of converters - EMC. In: Eletrical Power Quality and Utilisation Journal, 2006, vol. 12, no. 1, p. 89-95.', '2006  [3] KOVÁČOVÁ, Irena - KOVÁČ, Dobroslav: Galvanic coupling - EMC of electrical drives (Part 1.). In: Journal of Electrical Engineering (online). Vol. 6, no. 2 (2006). Dostupné na internete: http://www.jee.ro/covers/editions.php?act=cover. ISSN 1582-4594.', '2006  [4] KLENOVČANOVÁ, A., IMRIŠ, I.: Zdroje a premeny energie. Prešov : ManaCon , 2006. 492 s. ISBN 80-89040-29-2.']"
30148,ACB,2004,"Office 2000, databázové systémy, internetintranet, tvorba web stránok"," - 1. vyd - Žilina : Žilinská univerzita, - 2004. - 234 s. - ISBN 80-8070-222-5.","[MARCHEVSKÝ, Stanislav (7%) - HRONEC, Rudolf (7%) - LAVRIN, Anton (7%) - PODHRADSKÝ, Pavel (7%) - HOROVČÁK, Pavel (7%) - ŠEVEC, Sergej (7%) - BENČO, Stanislav (7%) - MIKUŠ, Ľudovít (7%) - GAMEC, Ján (7%) - GALAJDA, Pavol (7%) - DOBOŠ, Ľubomír (7%) - HUDEC, Róbert (7%) - STUPÁK, Csaba (7%) - ŽILKA, Zdeno (7%)]",1,"['2008  [4] MAJERNÍK, J.: Základy informatiky. Košice : Aprilla, 2008. S. 151. ISBN 978-80-89346-03-5.']"
39691,ACB,2005,TeZEK - Technológie znalostnej ekonomiky," - Košice : TU, - 2005. - 1 elektronický optický disk (CD-ROM). - ISBN 80-8073-319-8.","[BUCKO, Jozef (8%) - DELINA, Radoslav (8%) - GROHOĽ, Milan (8%) - HOROVČÁK, Pavel (8%) - LAVRIN, Anton (8%) - LEVICKÝ, Dušan (8%) - MIHÓK, Peter (8%) - ŠEVEC, Sergej (8%) - VODZINSKÝ, Vladimír (8%) - GRAJCÁROVÁ, Ľ. (8%) - ČIŽMÁRIKOVÁ, K. (8%) - ČIŽMÁRIK, M. (8%)]",0,[]
109100,ACB,2008,Princípy počítačového inžinierstva, - Košice : elfa - 2008. - 319 s. - ISBN 978-80-8086-075-2.,"[VOKOROKOS, Liberios (20%) - ÁDÁM, Norbert (10%) - TRELOVÁ, Jana (10%) - KLEINOVÁ, Alžbeta (10%) - CHOVANEC, Martin (10%) - LÁTKA, Ondrej (10%) - BALÁŽ, Anton (10%) - PERHÁČ, Ján (10%) - MADOŠ, Branislav (10%)]",0,[]
80317,ACB,2008,Základy kariérneho poradenstva 1," - 1. vyd - Prešov : ManaCon, - 2008. - 175 s. - ISBN 978-80-89040-35-3.","[ŽIVČÁK, Jozef (20%) - OČKAYOVÁ, Emília (10%) - HENRICZYOVÁ, Terézia (10%) - KURACINA, Peter (5%) - HADBAVNÍKOVÁ, Iveta (5%) - DUŠATKOVÁ, Alena (10%) - MALINDŽÁK, Dušan (10%) - IHNACIK, Jozef (10%) - RÁC, Igor (10%) - HREHOVÁ, Daniela (10%)]",0,[]
122893,ACB,2009,Estetika pre vysoké školy, - 1. vyd - Nitra : FF UKF - 2009. - 142 s.. - ISBN 978-80-8094-580-0.,"[MALÍČKOVÁ, Michaela (25%) - HREHOVÁ, Daniela (50%) - GYÁRFÁŠ, František (25%)]",2,"['2013  [4] SOKOLOVA, Anastasija Pljusy i minusy vnedrenija novych technologij v univerzitetskom obrazovanii In: Sociálne a politické analýzy Roč. 7, č. 1 (2013), s. 370-382 ISSN: 1337-5555', '2013  [4] SOKOLOVA, Anastazia Pros and cons of introducing new technologies into university education In: K otázke hodnotového rozmeru technologického vzdelávania : zborník recenzovaných vedeckých prác s medzinárodnou účasťou S. 190-194 ISBN: 978-80-553-1469-3']"
102804,ACB,2010,Vybrané kapitoly zo psychológie, - 1. vyd - Košice : KSV TU - 2010. - 123 s. - ISBN 978-80-553-0526-4.,"[RAČKOVÁ, Mariana (100%)]",10,"['2011  [4] BIRKNEROVÁ, Zuzana Organizačné správanie : Od teórie k aplikácii v praxi In: Organizačné správanie : Od teórie k aplikácii v praxi 201 s. ISBN: 978-80-89527-01-4', '2010  [3] MATOCHOVÁ, Jana Problematika zátěže v intersexuálním pojetí In: Člověk - kultura - media. Ostrava p. 157-168 ISBN: 978-80-248-2340-9', '2011  [4] CIECHANOWSKA, Dorota DETERMINING SYNERGIC COMMUNICATION IN THE TEACHING-LEARNING PROCESS IN HIGHER EDUCATION In: K otázke podôb komunikácie v humanitnom vzdelávaní na technických vysokých školách S. 160-165 ISBN: 978-80-553-0715-2', '2011  [3] BIRKNEROVÁ, Zuzana - BARANOVÁ, Milina Socio-emotional skills in work environment In: AD ALTA : Journal of Interdisciplinary Reasearch Vol. 1, no. 1 (2011), p. 11-15 ISSN: 1804-7890', '2011  [6] BIRKNEROVÁ, Zuzana Abeceda psychológie - Mariana Račková In: Prohuman [online] S. 1-2 ISSN: 1338-1415', '2011  [3] BIRKNEROVÁ, Zuzana Social and Emotional Intelligence in School Environment In: Asian Social Science Vol. 7, no. 10 (2011), p. 241-248 ISSN: 1911-2025', '2010  [4] BIRKNEROVÁ, Zuzana Organizačné správanie In: Organizačné správanie 195 s ISBN: 978-80-555-0128-4', '2011  [3] KRELOVÁ, Barbora - VAŇOVÁ, Michaela Analýza faktorov školskej záťaže žiakov 2. stupňa základných škôl a ich využitie pre tvorbu diagnostického nástroja In: Sociální procesy a osobnost Člověk na cestě životem: Křižovatky a mosty : sborník příspěvků : Kroměříž 14. - 16. 9. 2011 P. 144-151 ISBN: 978-80-263-0029-8', '2013  [4] MATOCHOVÁ, Jana Teorie sociálního učení a genderový rozvoj In: Možnosti kultivácie osobnosti v technologickom veku : Košice, 2013 S. 161-167 ISBN: 978-80-553-1344-3', '2016  [4] BIRKNEROVÁ, Zuzana Analýza aspektov komunikácie na pracovisku z hľadiska vybraných sociodemografických charakteristík In: Identifikácia a rozvoj sociálneho a psychického potenciálu : zborník recenzovaných štúdií z vedeckého seminára : Prešov, 14. jún, 2016 S. 23-29 ISBN: 978-80-8165-169-4']"
108133,ACB,2010,Slovenčina interkultúrne," - Košice : Elfa, s.r.o - 2010. - 146 s..","[NEMČOKOVÁ, Viera (50%) - NEMCOVÁ, Emília (50%)]",0,[]
163774,ACB,2010,Etika verejnej správy, - Prešov : Filozofická fakulta PU v Prešove - 2010. - 489 s.. - ISBN 978-80-553-0109-3.,"[GLUCHMAN, V. (20%) - BILASOVA, V. (8%) - ELIÁŠOVÁ, Martina (4%) - KALAJTZIDIS, Ján (4%) - MALANKIEVIČOVÁ, Silvia (19%) - PLATKOVÁ OLEJÁROVÁ, Gabriela (5%) - GEFFERT, Richard (10%) - GUITCHEVA, Gana (10%) - KRÁĽOVÁ, Ľuba (10%) - GLUCHMAN, Michal (10%)]",0,[]
